date,id,run,km,type,rank,is_icelandic_championship,results
2026-01-08,1,4. Powerade vetrarhlaupið ,10,Götuhlaup,c,0,https://timataka.net/vetrarhlaup-2026-01-08/urslit/?race=1&cat=overall
2026-01-29,2,Hlaupasería Hlaupahóps FH og Hlaupárs (Janúar),5,Götuhlaup,c,0,https://timataka.net/hlaupaseriafh2026/urslit/?race=1&cat=overall
2026-02-12,3,5. Powerade vetrarhlaupið,10,Götuhlaup,c,0,https://timataka.net/vetrarhlaup-2026-02-12/urslit/?race=1&cat=overall
2026-02-26,4,Hlaupasería Hlaupahóps FH og Hlaupárs (Febrúar),5,Götuhlaup,c,0,https://timataka.net/hlaupaseriafh2026/urslit/?race=2&cat=overall
2026-03-12,5,6. Powerade vetrarhlaupið ,10,Götuhlaup,c,0,https://timataka.net/vetrarhlaup-2026-03-12/urslit/?race=1&cat=overall
2026-03-19,6,Mottumarshlaup,5,Götuhlaup,b,0,https://timataka.net/mottumarshlaupid2026/urslit/?race=1&cat=overall
2026-03-26,7,Hlaupasería Hlaupahóps FH og Hlaupárs (Mars),5,Götuhlaup,c,0,https://timataka.net/hlaupaseriafh2026/urslit/?race=4&cat=overall
2026-04-14,8,Háskólahlaupið,7,Götuhlaup,c,0,https://timataka.net/haskolahlaupid2026/urslit/?race=1&cat=overall
2026-04-16,9,Vorhlaup VMA,5,Götuhlaup,c,0,https://timataka.net/vorhlaupvma2026/urslit/?race=2&cat=overall
2026-04-16,9,Vorhlaup VMA,10,Götuhlaup,c,0,https://timataka.net/vorhlaupvma2026/urslit/?race=8&cat=overall
2026-04-23,10,111. Víðavangshlaup ÍR,5,Götuhlaup,s,1,https://timataka.net/vidavangshlaup2026/urslit/?race=1&cat=overall
2026-04-25,11,Vormaraþon Félags maraþonhlaupara,21.1,Götuhlaup,b,0,https://timataka.net/vormarathon2026/urslit/?race=1&cat=overall
2026-04-25,11,Vormaraþon Félags maraþonhlaupara,42.2,Götuhlaup,b,0,https://timataka.net/vormarathon2026/urslit/?race=2&cat=overall
2026-04-28,12,Vecct mílan - open,1.6,Götuhlaup,s,0,https://timataka.net/vecct2026/urslit/?race=2&cat=overall
2026-04-28,97,Vecct mílan - elite men,1.6,Götuhlaup,s,1,https://timataka.net/vecct2026/urslit/?race=1&cat=m
2026-04-28,98,Vecct mílan - elite women,1.6,Götuhlaup,s,1,https://timataka.net/vecct2026/urslit/?race=4&cat=f
2026-05-02,13,The Puffin Run,20,Utanvegahlaup,a,0,https://timataka.net/thepuffinrun2026/urslit/?race=1&cat=overall
2026-05-09,14,Neshlaupið,7.5,Götuhlaup,c,0,https://timataka.net/neshlaupid2026/urslit/?race=2&cat=overall
2026-05-09,14,Neshlaupið,15,Götuhlaup,b,0,https://timataka.net/neshlaupid2026/urslit/?race=4&cat=overall
2026-05-14,15,Fjölnishlaupið,5,Götuhlaup,c,0,https://timataka.net/fjolnishlaupid2026/urslit/?race=2&cat=overall
2026-05-14,15,Fjölnishlaupið,10,Götuhlaup,c,0,https://timataka.net/fjolnishlaupid2026/urslit/?race=1&cat=overall
2026-05-16,16,Akrafjall Ultra,10,Utanvegahlaup,c,0,https://timataka.net/akrafjallultra2026/urslit/?race=1&cat=overall
2026-05-16,16,Akrafjall Ultra,20,Utanvegahlaup,b,0,https://timataka.net/akrafjallultra2026/urslit/?race=2&cat=overall
2026-05-16,16,Akrafjall Ultra,27,Utanvegahlaup,a,0,https://timataka.net/akrafjallultra2026/urslit/?race=4&cat=overall
2026-05-16,16,Akrafjall Ultra,46,Utanvegahlaup,b,0,https://timataka.net/akrafjallultra2026/urslit/?race=8&cat=overall
2026-05-16,17,Stjörnuhlaupið,11,Utanvegahlaup,c,0,https://timataka.net/stjornuhlaupid2026/urslit/?race=1&cat=overall
2026-05-16,17,Stjörnuhlaupið,17,Utanvegahlaup,b,0,https://timataka.net/stjornuhlaupid2026/urslit/?race=4&cat=overall
2026-05-16,17,Stjörnuhlaupið,22,Utanvegahlaup,c,0,https://timataka.net/stjornuhlaupid2026/urslit/?race=2&cat=overall
2026-05-19,18,Lífssporið - styrktarhlaup,5,Götuhlaup,c,0,https://timataka.net/lifssporid2026/urslit/?race=2&cat=overall
2026-05-19,18,Lífssporið - styrktarhlaup,10,Götuhlaup,c,0,https://timataka.net/lifssporid2026/urslit/?race=4&cat=overall
2026-05-23,19,Kerlingarskarðshlaup,14,Utanvegahlaup,c,0,https://timataka.net/kerlingarskardshlaup2026/urslit/?race=1&cat=overall
2026-05-25,20,Hvítasunnuhlaup Hauka,14,Götuhlaup,c,0,https://timataka.net/hvitasunnuhlaup2026/urslit/?race=1&cat=overall
2026-05-25,20,Hvítasunnuhlaup Hauka,17.5,Götuhlaup,b,0,https://timataka.net/hvitasunnuhlaup2026/urslit/?race=2&cat=overall
2026-05-25,20,Hvítasunnuhlaup Hauka,22,Götuhlaup,b,0,https://timataka.net/hvitasunnuhlaup2026/urslit/?race=4&cat=overall
2026-05-28,21,Saffranhlaupið,5,Götuhlaup,b,0,https://timataka.net/saffranhlaupid2026/urslit/?race=1&cat=overall
2026-05-29,22,Hraunhlaupið / The Lava Run,9.4,Utanvegahlaup,c,0,
2026-05-30,23,Mývatnsmaraþon / The Mývatn Marathon,10,Götuhlaup,c,0,
2026-05-30,23,Mývatnsmaraþon / The Mývatn Marathon,21.1,Götuhlaup,b,0,
2026-05-30,23,Mývatnsmaraþon / The Mývatn Marathon,42.2,Götuhlaup,b,0,
2026-05-31,24,Mýrdalshlaupið / The Mýrdalshlaup Trail Run,10,Utanvegahlaup,c,0,
2026-05-31,24,Mýrdalshlaupið / The Mýrdalshlaup Trail Run,21.1,Utanvegahlaup,a,0,
2026-06-04,25,Eyfahlaupið,5,Götuhlaup,c,0,
2026-06-04,25,Eyfahlaupið,10,Götuhlaup,c,0,
2026-06-05,26,Hengill Ultra Trail - 106K,106,Utanvegahlaup,a,0,
2026-06-06,27,Hengill Ultra,5,Utanvegahlaup,c,0,
2026-06-06,27,Hengill Ultra,10,Utanvegahlaup,c,0,
2026-06-06,27,Hengill Ultra,26,Utanvegahlaup,a,0,
2026-06-06,27,Hengill Ultra,53,Utanvegahlaup,a,0,
2026-06-11,28,Hafnarfjarðarhlaupið,5,Götuhlaup,b,0,
2026-06-11,28,Hafnarfjarðarhlaupið,10,Götuhlaup,b,0,
2026-06-12,29,Álafosshlaupið,5,Utanvegahlaup,c,0,
2026-06-12,29,Álafosshlaupið,10,Utanvegahlaup,c,0,
2026-06-13,30,Mt. Esja Ultra,23,Utanvegahlaup,b,0,
2026-06-13,30,Mt. Esja Ultra,15h,Utanvegahlaup,b,0,
2026-06-13,31,Gullspretturinn,8.5,Utanvegahlaup,c,0,
2026-06-14,32,Bláskógaskokk HSK,8,Utanvegahlaup,c,0,
2026-06-14,32,Bláskógaskokk HSK,16,Utanvegahlaup,c,0,
2026-06-18,33,Hólmsheiðarhlaup / UltraForm,6,Utanvegahlaup,c,0,
2026-06-18,33,Hólmsheiðarhlaup / UltraForm,10,Utanvegahlaup,c,0,
2026-06-18,33,Hólmsheiðarhlaup / UltraForm,22,Utanvegahlaup,b,0,
2026-06-20,34,Snæfellsjökulshlaupið,22.1,Utanvegahlaup,b,0,
2026-06-20,35,Sólstöðuhlaup Æskunnar og Skógarbaðanna,14.2,Utanvegahlaup,c,0,
2026-06-20,35,Sólstöðuhlaup Æskunnar og Skógarbaðanna,26,Utanvegahlaup,b,0,
2026-06-20,35,Sólstöðuhlaup Æskunnar og Skógarbaðanna,38,Utanvegahlaup,b,0,
2026-06-25,36,Miðnæturhlaup Suzuki,5,Götuhlaup,a,0,
2026-06-25,36,Miðnæturhlaup Suzuki,10,Götuhlaup,a,0,
2026-06-25,36,Miðnæturhlaup Suzuki,21.1,Götuhlaup,a,0,
2026-06-27,37,Iceland Volcano Marathon,10.55,Utanvegahlaup,c,0,
2026-06-27,37,Iceland Volcano Marathon,21.1,Utanvegahlaup,c,0,
2026-06-27,37,Iceland Volcano Marathon,42.2,Utanvegahlaup,c,0,
2026-06-27,38,Hafnarfjall Ultra,15,Utanvegahlaup,c,0,
2026-06-27,38,Hafnarfjall Ultra,24,Utanvegahlaup,b,0,
2026-06-27,38,Hafnarfjall Ultra,36,Utanvegahlaup,b,0,
2026-06-27,39,Öræfahlaupið - Kristínartindar,23,Utanvegahlaup,b,0,
